,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
54,,,,,,,,,0.23,83.9691,0.13,83.9691,0.03,83.9691,83.9691,86.46395
55,,,,,,,,,0.24,83.9691,0.14,83.9691,0.04,83.9691,83.9691,86.46395
56,,,,,,,,,0.25,83.9691,0.15,83.9691,0.05,83.9691,83.9691,86.46395
57,,,,,,,,,0.26,83.9691,0.16,83.9691,0.06,83.9691,83.9691,86.46395
58,,,,,,,,,0.27,83.9691,0.17,83.9691,0.07,83.9691,83.9691,86.46395
59,,,,,,,,,0.28,83.9691,0.18,83.9691,0.08,83.9691,83.9691,86.46395
60,,,,,,,,,0.29,83.9691,0.19,83.9691,0.09,83.9691,83.9691,86.46395
61,,,,,,,,,0.3,83.9691,0.2,83.9691,0.1,83.9691,83.9691,86.46395
62,,,,,,,,,,,0.21,83.9691,0.11,83.9691,83.9691,86.46395
63,,,,,,,,,,,0.22,83.9691,0.12,83.9691,83.9691,86.46395
64,,,,,,,,,,,0.23,83.9691,0.13,83.9691,83.9691,86.46395
65,,,,,,,,,,,0.24,83.9691,0.14,83.9691,83.9691,86.46395
66,,,,,,,,,,,0.25,83.9691,0.15,83.9691,83.9691,86.46395
67,,,,,,,,,,,0.26,83.9691,0.16,83.9691,83.9691,86.46395
68,,,,,,,,,,,0.27,83.9691,0.17,83.9691,83.9691,86.46395
69,,,,,,,,,,,0.28,83.9691,0.18,83.9691,83.9691,86.46395
70,,,,,,,,,,,0.29,83.9691,0.19,83.9691,83.9691,86.46395
71,,,,,,,,,,,0.3,83.9691,0.2,83.9691,83.9691,86.46395
72,,,,,,,,,,,0.31,83.9691,0.21,83.9691,83.9691,86.46395
73,,,,,,,,,,,0.32,83.9691,0.22,83.9691,83.9691,86.46395
74,,,,,,,,,,,0.33,83.9691,0.23,83.9691,83.9691,86.46395
75,,,,,,,,,,,0.34,83.9691,0.24,83.9691,83.9691,86.46395
76,,,,,,,,,,,0.35000000000000003,83.9691,0.25,83.9691,83.9691,86.46395
77,,,,,,,,,,,0.36,83.9691,0.26,83.9691,83.9691,86.46395
78,,,,,,,,,,,0.37,83.9691,0.27,83.9691,83.9691,86.46395
79,,,,,,,,,,,0.38,83.9691,0.28,83.9691,83.9691,86.46395
80,,,,,,,,,,,0.39,83.9691,0.29,83.9691,83.9691,86.46395
81,,,,,,,,,,,0.4,83.9691,0.3,83.9691,83.9691,86.46395
82,,,,,,,,,,,,,0.31,83.9691,83.9691,86.46395
83,,,,,,,,,,,,,0.32,83.9691,83.9691,86.46395
84,,,,,,,,,,,,,0.33,83.9691,83.9691,86.46395
85,,,,,,,,,,,,,0.34,83.9691,83.9691,86.46395
86,,,,,,,,,,,,,0.35000000000000003,83.9691,83.9691,86.46395
87,,,,,,,,,,,,,0.36,83.9691,83.9691,86.46395
88,,,,,,,,,,,,,0.37,83.9691,83.9691,86.46395
89,,,,,,,,,,,,,0.38,83.9691,83.9691,86.46395
90,,,,,,,,,,,,,0.39,83.9691,83.9691,86.46395
91,,,,,,,,,,,,,0.4,83.9691,83.9691,86.46395
92,,,,,,,,,,,,,0.41000000000000003,83.9691,83.9691,86.46395
93,,,,,,,,,,,,,0.42,83.9691,83.9691,86.46395
94,,,,,,,,,,,,,0.43,83.9691,83.9691,86.46395
95,,,,,,,,,,,,,0.44,83.9691,83.9691,86.46395
96,,,,,,,,,,,,,0.45,83.9691,83.9691,86.46395
97,,,,,,,,,,,,,0.46,83.9691,83.9691,86.46395
98,,,,,,,,,,,,,0.47000000000000003,83.9691,83.9691,86.46395
99,,,,,,,,,,,,,0.48,83.9691,83.9691,86.46395
100,,,,,,,,,,,,,0.49,83.9691,83.9691,86.46395
101,,,,,,,,,,,,,0.5,83.9691,83.9691,86.46395
