,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.50)
28,-0.10095096709084106,82.009,84.479,82.009,82.009,82.009,78.521
29,-0.09994145741993266,82.009,84.479,82.009,82.009,82.009,78.521
30,-0.09893194774902424,82.009,84.479,82.009,82.009,82.009,78.521
31,-0.09792243807811583,82.009,84.479,82.009,82.009,82.009,78.521
32,-0.09691292840720742,82.009,84.479,82.009,82.009,82.009,78.521
33,-0.09590341873629901,82.009,84.479,82.009,82.009,82.009,78.521
34,-0.09489390906539061,82.009,84.479,82.009,82.009,82.009,78.521
35,-0.09388439939448219,82.009,84.479,82.009,82.009,82.009,78.521
36,-0.09287488972357379,82.009,84.479,82.009,82.009,82.009,78.521
37,-0.09186538005266537,82.009,84.479,82.009,82.009,82.009,78.521
38,-0.09085587038175696,82.009,84.479,82.009,82.009,82.009,78.521
39,-0.08984636071084855,82.009,84.479,82.009,82.009,82.009,78.521
40,-0.08883685103994014,82.009,84.479,82.009,82.009,82.009,78.521
41,-0.08782734136903173,82.009,84.479,82.009,82.009,82.009,78.521
42,-0.08681783169812332,82.009,84.479,82.009,82.009,82.009,78.521
43,-0.0858083220272149,82.009,84.479,82.009,82.009,82.009,78.521
44,-0.0847988123563065,82.009,84.479,82.009,82.009,82.009,78.521
45,-0.08378930268539808,82.009,84.479,82.009,82.009,82.009,78.521
46,-0.08277979301448968,82.009,84.479,82.009,82.009,82.009,78.521
47,-0.08177028334358126,82.009,84.479,82.009,82.009,82.009,78.521
48,-0.08076077367267286,82.009,84.479,82.009,82.009,82.009,78.521
49,-0.07975126400176444,82.009,84.479,82.009,82.009,82.009,78.521
50,-0.07874175433085603,82.009,84.479,82.009,82.009,82.009,78.521
51,-0.07773224465994762,82.009,84.479,82.009,82.009,82.009,78.521
52,-0.07672273498903921,82.009,84.479,82.009,82.009,82.009,78.521
53,-0.0757132253181308,82.009,84.479,82.009,82.009,82.009,78.521
54,-0.07470371564722239,82.009,84.479,82.009,82.009,82.009,78.521
55,-0.07369420597631397,82.009,84.479,82.009,82.009,82.009,78.521
56,-0.07268469630540557,82.009,84.479,82.009,82.009,82.009,78.521
57,-0.07167518663449715,82.009,84.479,82.009,82.009,82.009,78.521
58,-0.07066567696358875,82.009,84.479,82.009,82.009,82.009,78.521
59,-0.06965616729268033,82.009,84.479,82.009,82.009,82.009,78.521
60,-0.06864665762177193,82.009,84.479,82.009,82.009,82.009,78.521
