,eta,"count(Hn=0.100, Hp=0.100)","count(Hn=0.200, Hp=0.200)","count(Hn=0.300, Hp=0.300)","count(Hn=0.400, Hp=0.400)","count(Hn=0.500, Hp=0.500)"
191,-0.30861723446893785,,,,18.0,18.0
192,-0.3076152304609218,,,,18.0,18.0
193,-0.3066132264529058,,,,18.0,18.0
194,-0.30561122244488975,,,,18.0,18.0
195,-0.3046092184368737,,,,18.0,18.0
196,-0.3036072144288577,,,,18.0,18.0
197,-0.30260521042084165,,,,18.0,18.0
198,-0.3016032064128256,,,,18.0,18.0
199,-0.3006012024048096,,,,18.0,18.0
200,-0.29959919839679355,,,18.0,18.0,18.0
201,-0.2985971943887775,,,18.0,18.0,18.0
202,-0.2975951903807615,,,18.0,18.0,18.0
203,-0.29659318637274545,,,18.0,18.0,18.0
204,-0.2955911823647294,,,18.0,18.0,18.0
205,-0.2945891783567134,,,18.0,18.0,18.0
206,-0.29358717434869736,,,18.0,18.0,18.0
207,-0.2925851703406813,,,18.0,18.0,18.0
208,-0.2915831663326653,,,18.0,18.0,18.0
209,-0.29058116232464926,,,18.0,18.0,18.0
210,-0.2895791583166332,,,18.0,18.0,18.0
211,-0.2885771543086172,,,18.0,18.0,18.0
212,-0.28757515030060116,,,18.0,18.0,18.0
213,-0.2865731462925851,,,18.0,18.0,18.0
214,-0.2855711422845691,,,18.0,18.0,18.0
215,-0.28456913827655306,,,18.0,18.0,18.0
216,-0.283567134268537,,,18.0,18.0,18.0
217,-0.282565130260521,,,18.0,18.0,18.0
218,-0.281563126252505,,,18.0,18.0,18.0
219,-0.280561122244489,,,18.0,18.0,18.0
220,-0.27955911823647295,,,18.0,18.0,18.0
221,-0.2785571142284569,,,18.0,18.0,18.0
222,-0.2775551102204409,,,18.0,18.0,18.0
223,-0.27655310621242485,,,18.0,18.0,18.0
224,-0.2755511022044088,,,18.0,18.0,18.0
225,-0.2745490981963928,,,18.0,18.0,18.0
226,-0.27354709418837675,,,18.0,18.0,18.0
227,-0.2725450901803607,,,18.0,18.0,18.0
228,-0.2715430861723447,,,18.0,18.0,18.0
229,-0.27054108216432865,,,18.0,18.0,18.0
230,-0.2695390781563126,,,18.0,18.0,18.0
231,-0.2685370741482966,,,18.0,18.0,18.0
232,-0.26753507014028055,,,18.0,18.0,18.0
233,-0.2665330661322645,,,18.0,18.0,18.0
234,-0.2655310621242485,,,18.0,18.0,18.0
235,-0.26452905811623245,,,18.0,18.0,18.0
236,-0.2635270541082164,,,18.0,18.0,18.0
237,-0.2625250501002004,,,18.0,18.0,18.0
238,-0.26152304609218435,,,18.0,18.0,18.0
239,-0.2605210420841683,,,18.0,18.0,18.0
240,-0.2595190380761523,,,18.0,18.0,18.0
241,-0.25851703406813625,,,18.0,18.0,18.0
242,-0.2575150300601202,,,18.0,18.0,18.0
243,-0.2565130260521042,,,18.0,18.0,18.0
244,-0.25551102204408815,,,18.0,18.0,18.0
245,-0.2545090180360721,,,18.0,18.0,18.0
246,-0.2535070140280561,,,18.0,18.0,18.0
247,-0.25250501002004005,,,18.0,18.0,18.0
248,-0.251503006012024,,,18.0,18.0,18.0
249,-0.250501002004008,,,18.0,18.0,18.0
250,-0.24949899799599196,,,18.0,18.0,18.0
251,-0.24849699398797592,,,18.0,18.0,18.0
252,-0.2474949899799599,,,18.0,18.0,18.0
253,-0.24649298597194386,,,18.0,18.0,18.0
254,-0.24549098196392782,,,18.0,18.0,18.0
255,-0.2444889779559118,,,18.0,18.0,18.0
256,-0.24348697394789579,,,18.0,18.0,18.0
257,-0.24248496993987975,,,18.0,18.0,18.0
258,-0.24148296593186372,,,18.0,18.0,18.0
259,-0.24048096192384769,,,18.0,18.0,18.0
260,-0.23947895791583165,,,18.0,18.0,18.0
261,-0.23847695390781562,,,18.0,18.0,18.0
262,-0.2374749498997996,,,18.0,18.0,18.0
263,-0.23647294589178355,,,18.0,18.0,18.0
264,-0.23547094188376752,,,18.0,18.0,18.0
265,-0.2344689378757515,,,18.0,18.0,18.0
266,-0.23346693386773545,,,18.0,18.0,18.0
267,-0.23246492985971942,,,18.0,18.0,18.0
268,-0.2314629258517034,,,18.0,18.0,18.0
269,-0.23046092184368736,,,18.0,18.0,18.0
270,-0.22945891783567132,,,18.0,18.0,18.0
271,-0.2284569138276553,,,18.0,18.0,18.0
272,-0.22745490981963926,,,18.0,18.0,18.0
273,-0.22645290581162322,,,18.0,18.0,18.0
274,-0.2254509018036072,,,18.0,18.0,18.0
275,-0.22444889779559116,,,18.0,18.0,18.0
276,-0.22344689378757512,,,18.0,18.0,18.0
277,-0.2224448897795591,,,18.0,18.0,18.0
