,eta,count(r=0.50),count(r=0.75),count(r=1.00),count(r=1.25),count(r=1.50)
42,-0.4579158316633266,20.0,12.0,12.0,12.0,12.0
43,-0.4569138276553106,20.0,12.0,12.0,12.0,12.0
44,-0.45591182364729455,20.0,12.0,12.0,12.0,12.0
45,-0.4549098196392785,20.0,12.0,12.0,12.0,12.0
46,-0.4539078156312625,20.0,12.0,12.0,12.0,12.0
47,-0.45290581162324645,20.0,12.0,12.0,12.0,12.0
48,-0.4519038076152304,20.0,12.0,12.0,12.0,12.0
49,-0.4509018036072144,20.0,12.0,12.0,12.0,12.0
50,-0.44989979959919835,20.0,12.0,12.0,12.0,12.0
51,-0.4488977955911823,20.0,12.0,12.0,12.0,12.0
52,-0.4478957915831663,20.0,12.0,12.0,12.0,12.0
53,-0.44689378757515025,20.0,12.0,12.0,12.0,12.0
54,-0.4458917835671342,20.0,12.0,12.0,12.0,12.0
55,-0.4448897795591182,20.0,12.0,12.0,12.0,12.0
56,-0.44388777555110215,20.0,12.0,12.0,12.0,12.0
57,-0.4428857715430861,20.0,12.0,12.0,12.0,12.0
58,-0.4418837675350701,20.0,12.0,12.0,12.0,12.0
59,-0.44088176352705405,20.0,12.0,12.0,12.0,12.0
60,-0.439879759519038,20.0,12.0,12.0,12.0,12.0
61,-0.438877755511022,20.0,12.0,12.0,12.0,12.0
62,-0.43787575150300595,20.0,12.0,12.0,12.0,12.0
63,-0.4368737474949899,20.0,12.0,12.0,12.0,12.0
64,-0.43587174348697394,20.0,12.0,12.0,12.0,12.0
65,-0.4348697394789579,20.0,12.0,12.0,12.0,12.0
66,-0.4338677354709419,20.0,12.0,12.0,12.0,12.0
67,-0.43286573146292584,20.0,12.0,12.0,12.0,12.0
68,-0.4318637274549098,20.0,12.0,12.0,12.0,12.0
69,-0.4308617234468938,20.0,12.0,12.0,12.0,12.0
70,-0.42985971943887774,20.0,12.0,12.0,12.0,12.0
71,-0.4288577154308617,20.0,12.0,12.0,12.0,12.0
72,-0.4278557114228457,20.0,12.0,12.0,12.0,12.0
73,-0.42685370741482964,20.0,12.0,12.0,12.0,12.0
74,-0.4258517034068136,20.0,12.0,12.0,12.0,12.0
75,-0.4248496993987976,20.0,12.0,12.0,12.0,12.0
76,-0.42384769539078154,20.0,12.0,12.0,12.0,12.0
77,-0.4228456913827655,20.0,12.0,12.0,12.0,12.0
78,-0.4218436873747495,20.0,12.0,12.0,12.0,12.0
79,-0.42084168336673344,20.0,12.0,12.0,12.0,12.0
80,-0.4198396793587174,20.0,12.0,12.0,12.0,12.0
81,-0.4188376753507014,20.0,12.0,12.0,12.0,12.0
82,-0.41783567134268534,20.0,12.0,12.0,12.0,12.0
83,-0.4168336673346693,20.0,12.0,12.0,12.0,12.0
84,-0.4158316633266533,20.0,12.0,12.0,12.0,12.0
85,-0.41482965931863724,20.0,12.0,12.0,12.0,12.0
86,-0.4138276553106212,20.0,12.0,12.0,12.0,12.0
87,-0.4128256513026052,20.0,12.0,12.0,12.0,12.0
88,-0.41182364729458915,20.0,12.0,12.0,12.0,12.0
89,-0.4108216432865731,20.0,12.0,12.0,12.0,12.0
90,-0.4098196392785571,20.0,12.0,12.0,12.0,12.0
91,-0.40881763527054105,20.0,12.0,12.0,12.0,12.0
92,-0.407815631262525,20.0,12.0,12.0,12.0,12.0
93,-0.406813627254509,20.0,12.0,12.0,12.0,12.0
94,-0.40581162324649295,20.0,12.0,12.0,12.0,12.0
95,-0.4048096192384769,20.0,12.0,12.0,12.0,12.0
96,-0.4038076152304609,20.0,12.0,12.0,12.0,12.0
97,-0.40280561122244485,20.0,12.0,12.0,12.0,12.0
98,-0.4018036072144288,20.0,12.0,12.0,12.0,12.0
99,-0.4008016032064128,20.0,12.0,12.0,12.0,12.0
100,-0.39979959919839675,20.0,12.0,12.0,12.0,12.0
101,-0.3987975951903807,20.0,12.0,12.0,12.0,12.0
102,-0.3977955911823647,20.0,12.0,12.0,12.0,12.0
103,-0.39679358717434865,20.0,12.0,12.0,12.0,12.0
104,-0.3957915831663326,20.0,12.0,12.0,12.0,12.0
105,-0.3947895791583166,20.0,12.0,12.0,12.0,12.0
106,-0.39378757515030055,20.0,12.0,12.0,12.0,12.0
107,-0.3927855711422845,20.0,12.0,12.0,12.0,12.0
108,-0.3917835671342685,20.0,12.0,12.0,12.0,12.0
109,-0.39078156312625245,20.0,12.0,12.0,12.0,12.0
110,-0.3897795591182364,20.0,12.0,12.0,12.0,12.0
111,-0.3887775551102204,20.0,12.0,12.0,12.0,12.0
112,-0.38777555110220435,20.0,12.0,12.0,12.0,12.0
113,-0.3867735470941883,20.0,12.0,12.0,12.0,12.0
114,-0.3857715430861723,20.0,12.0,12.0,12.0,12.0
115,-0.38476953907815625,20.0,12.0,12.0,12.0,12.0
116,-0.3837675350701403,20.0,12.0,12.0,12.0,12.0
117,-0.38276553106212424,20.0,12.0,12.0,12.0,12.0
