,eta,"count(Hn=0.005, Hp=0.005)","count(Hn=0.010, Hp=0.010)","count(Hn=0.020, Hp=0.020)","count(Hn=0.030, Hp=0.030)","count(Hn=0.040, Hp=0.040)"
164,-0.02685370741482966,,,,18.0,18.0
165,-0.02677354709418838,,,,18.0,18.0
166,-0.026693386773547097,,,,18.0,18.0
167,-0.026613226452905814,,,,18.0,18.0
168,-0.02653306613226453,,,,18.0,18.0
169,-0.02645290581162325,,,,18.0,18.0
170,-0.026372745490981966,,,,18.0,18.0
171,-0.026292585170340683,,,,18.0,18.0
172,-0.026212424849699403,,,,18.0,18.0
173,-0.02613226452905812,,,,18.0,18.0
174,-0.026052104208416835,,,,18.0,18.0
175,-0.025971943887775555,,,,18.0,18.0
176,-0.02589178356713427,,,,18.0,18.0
177,-0.025811623246492988,,,,18.0,18.0
178,-0.025731462925851704,,,,18.0,18.0
179,-0.025651302605210424,,,,18.0,18.0
180,-0.02557114228456914,,,,18.0,18.0
181,-0.025490981963927857,,,,18.0,18.0
182,-0.025410821643286577,,,,18.0,18.0
183,-0.025330661322645293,,,,18.0,18.0
184,-0.02525050100200401,,,,18.0,18.0
185,-0.02517034068136273,,,,18.0,18.0
186,-0.025090180360721446,,,,18.0,18.0
187,-0.025010020040080162,,,,18.0,18.0
188,-0.02492985971943888,,,,18.0,18.0
189,-0.0248496993987976,,,,18.0,18.0
190,-0.024769539078156315,,,,18.0,18.0
191,-0.02468937875751503,,,,18.0,18.0
192,-0.02460921843687375,,,,18.0,18.0
193,-0.024529058116232468,,,,18.0,18.0
194,-0.024448897795591184,,,,18.0,18.0
195,-0.024368737474949904,,,,18.0,18.0
196,-0.02428857715430862,,,,18.0,18.0
197,-0.024208416833667337,,,,18.0,18.0
198,-0.024128256513026053,,,,18.0,18.0
199,-0.024048096192384773,,,,18.0,18.0
200,-0.02396793587174349,,,,18.0,18.0
201,-0.023887775551102206,,,,18.0,18.0
202,-0.023807615230460925,,,,18.0,18.0
203,-0.023727454909819642,,,,18.0,18.0
204,-0.023647294589178358,,,,18.0,18.0
205,-0.023567134268537078,,,,18.0,18.0
206,-0.023486973947895794,,,,18.0,18.0
207,-0.02340681362725451,,,,18.0,18.0
208,-0.023326653306613227,,,,18.0,18.0
209,-0.023246492985971947,,,,18.0,18.0
210,-0.023166332665330663,,,,18.0,18.0
211,-0.02308617234468938,,,,18.0,18.0
212,-0.0230060120240481,,,,18.0,18.0
213,-0.022925851703406816,,,,18.0,18.0
214,-0.022845691382765532,,,,18.0,18.0
215,-0.022765531062124252,,,,18.0,18.0
216,-0.02268537074148297,,,,18.0,18.0
217,-0.022605210420841685,,,,18.0,18.0
218,-0.0225250501002004,,,,18.0,18.0
219,-0.02244488977955912,,,,18.0,18.0
220,-0.022364729458917838,,,,18.0,18.0
221,-0.022284569138276554,,,,18.0,18.0
