,eta,count(r=0.96),count(r=0.98),count(r=1.00),count(r=1.02),count(r=1.04)
58,-0.035350701402805614,18.0,6.0,6.0,6.0,6.0
59,-0.03527054108216433,18.0,6.0,6.0,6.0,6.0
60,-0.035190380761523046,18.0,6.0,6.0,6.0,6.0
61,-0.035110220440881766,18.0,6.0,6.0,6.0,6.0
62,-0.035030060120240486,18.0,6.0,6.0,6.0,6.0
63,-0.0349498997995992,18.0,6.0,6.0,6.0,6.0
64,-0.03486973947895792,18.0,6.0,6.0,6.0,6.0
65,-0.03478957915831664,18.0,6.0,6.0,6.0,6.0
66,-0.03470941883767535,18.0,6.0,6.0,6.0,6.0
67,-0.03462925851703407,18.0,6.0,6.0,6.0,6.0
68,-0.03454909819639279,18.0,6.0,6.0,6.0,6.0
69,-0.034468937875751504,18.0,6.0,6.0,6.0,6.0
70,-0.034388777555110224,18.0,6.0,6.0,6.0,6.0
71,-0.034308617234468944,18.0,6.0,6.0,6.0,6.0
72,-0.03422845691382766,18.0,6.0,6.0,6.0,6.0
73,-0.03414829659318638,18.0,6.0,6.0,6.0,6.0
74,-0.034068136272545096,18.0,6.0,6.0,6.0,6.0
75,-0.03398797595190381,18.0,6.0,6.0,6.0,6.0
76,-0.03390781563126253,18.0,6.0,6.0,6.0,6.0
77,-0.03382765531062125,18.0,6.0,6.0,6.0,6.0
78,-0.03374749498997996,18.0,6.0,6.0,6.0,6.0
79,-0.03366733466933868,18.0,6.0,6.0,6.0,6.0
80,-0.033587174348697395,18.0,6.0,6.0,6.0,6.0
81,-0.033507014028056115,18.0,6.0,6.0,6.0,6.0
82,-0.033426853707414834,18.0,6.0,6.0,6.0,6.0
83,-0.03334669338677355,18.0,6.0,6.0,6.0,6.0
84,-0.03326653306613227,18.0,6.0,6.0,6.0,6.0
85,-0.03318637274549099,18.0,6.0,6.0,6.0,6.0
86,-0.0331062124248497,18.0,6.0,6.0,6.0,6.0
87,-0.03302605210420842,18.0,6.0,6.0,6.0,6.0
88,-0.03294589178356714,18.0,6.0,6.0,6.0,6.0
89,-0.03286573146292585,18.0,6.0,6.0,6.0,6.0
90,-0.03278557114228457,18.0,6.0,6.0,6.0,6.0
91,-0.03270541082164329,18.0,6.0,6.0,6.0,6.0
92,-0.032625250501002005,18.0,6.0,6.0,6.0,6.0
93,-0.032545090180360725,18.0,6.0,6.0,6.0,6.0
