,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
83,,,,,,,,,,,,,0.32,1.1610915,1.1610915,1.1872490000000002
84,,,,,,,,,,,,,0.33,1.1610915,1.1610915,1.1872490000000002
85,,,,,,,,,,,,,0.34,1.1610915,1.1610915,1.1872490000000002
86,,,,,,,,,,,,,0.35000000000000003,1.1610915,1.1610915,1.1872490000000002
87,,,,,,,,,,,,,0.36,1.1610915,1.1610915,1.1872490000000002
88,,,,,,,,,,,,,0.37,1.1610915,1.1610915,1.1872490000000002
89,,,,,,,,,,,,,0.38,1.1610915,1.1610915,1.1872490000000002
90,,,,,,,,,,,,,0.39,1.1610915,1.1610915,1.1872490000000002
91,,,,,,,,,,,,,0.4,1.1610915,1.1610915,1.1872490000000002
92,,,,,,,,,,,,,0.41000000000000003,1.1610915,1.1610915,1.1872490000000002
93,,,,,,,,,,,,,0.42,1.1610915,1.1610915,1.1872490000000002
94,,,,,,,,,,,,,0.43,1.1610915,1.1610915,1.1872490000000002
95,,,,,,,,,,,,,0.44,1.1610915,1.1610915,1.1872490000000002
96,,,,,,,,,,,,,0.45,1.1610915,1.1610915,1.1872490000000002
97,,,,,,,,,,,,,0.46,1.1610915,1.1610915,1.1872490000000002
98,,,,,,,,,,,,,0.47000000000000003,1.1610915,1.1610915,1.1872490000000002
99,,,,,,,,,,,,,0.48,1.1610915,1.1610915,1.1872490000000002
100,,,,,,,,,,,,,0.49,1.1610915,1.1610915,1.1872490000000002
101,,,,,,,,,,,,,0.5,1.1610915,1.1610915,1.1872490000000002
