,eta,pure online,best price,"payoff(Hn=0.100, Hp=0.100)","payoff(Hn=0.200, Hp=0.200)","payoff(Hn=0.300, Hp=0.300)","payoff(Hn=0.400, Hp=0.400)","payoff(Hn=0.500, Hp=0.500)"
70,-0.42985971943887774,477.58500000000004,977.1200000000001,,,,,748.1200000000001
71,-0.4288577154308617,477.58500000000004,977.1200000000001,,,,,748.1200000000001
72,-0.4278557114228457,477.58500000000004,977.1200000000001,,,,,748.1200000000001
73,-0.42685370741482964,477.58500000000004,977.1200000000001,,,,,748.1200000000001
74,-0.4258517034068136,477.58500000000004,977.1200000000001,,,,,748.1200000000001
75,-0.4248496993987976,477.58500000000004,977.1200000000001,,,,,748.1200000000001
76,-0.42384769539078154,477.58500000000004,977.1200000000001,,,,,748.1200000000001
77,-0.4228456913827655,477.58500000000004,977.1200000000001,,,,,748.1200000000001
78,-0.4218436873747495,477.58500000000004,977.1200000000001,,,,,748.1200000000001
79,-0.42084168336673344,477.58500000000004,977.1200000000001,,,,,748.1200000000001
