,eta,count(r=0.96),count(r=0.98),count(r=1.00),count(r=1.02),count(r=1.04)
77,-0.03382765531062125,20.0,8.0,8.0,8.0,8.0
78,-0.03374749498997996,20.0,8.0,8.0,8.0,8.0
79,-0.03366733466933868,20.0,8.0,8.0,8.0,8.0
80,-0.033587174348697395,20.0,8.0,8.0,8.0,8.0
81,-0.033507014028056115,20.0,8.0,8.0,8.0,8.0
82,-0.033426853707414834,20.0,8.0,8.0,8.0,8.0
83,-0.03334669338677355,20.0,8.0,8.0,8.0,8.0
84,-0.03326653306613227,20.0,8.0,8.0,8.0,8.0
85,-0.03318637274549099,20.0,8.0,8.0,8.0,8.0
86,-0.0331062124248497,20.0,8.0,8.0,8.0,8.0
87,-0.03302605210420842,20.0,8.0,8.0,8.0,8.0
88,-0.03294589178356714,20.0,8.0,8.0,8.0,8.0
89,-0.03286573146292585,20.0,8.0,8.0,8.0,8.0
90,-0.03278557114228457,20.0,8.0,8.0,8.0,8.0
91,-0.03270541082164329,20.0,8.0,8.0,8.0,8.0
92,-0.032625250501002005,20.0,8.0,8.0,8.0,8.0
93,-0.032545090180360725,20.0,8.0,8.0,8.0,8.0
94,-0.032464929859719445,20.0,8.0,8.0,8.0,8.0
95,-0.03238476953907816,20.0,8.0,8.0,8.0,8.0
96,-0.03230460921843688,20.0,8.0,8.0,8.0,8.0
97,-0.0322244488977956,20.0,8.0,8.0,8.0,8.0
98,-0.03214428857715431,20.0,8.0,8.0,8.0,8.0
99,-0.03206412825651303,20.0,8.0,8.0,8.0,8.0
100,-0.03198396793587174,20.0,8.0,8.0,8.0,8.0
101,-0.03190380761523046,20.0,8.0,8.0,8.0,8.0
102,-0.03182364729458918,20.0,8.0,8.0,8.0,8.0
103,-0.031743486973947896,20.0,8.0,8.0,8.0,8.0
104,-0.031663326653306616,20.0,8.0,8.0,8.0,8.0
105,-0.031583166332665336,20.0,8.0,8.0,8.0,8.0
106,-0.03150300601202405,20.0,8.0,8.0,8.0,8.0
107,-0.03142284569138277,20.0,8.0,8.0,8.0,8.0
108,-0.03134268537074149,20.0,8.0,8.0,8.0,8.0
109,-0.0312625250501002,20.0,8.0,8.0,8.0,8.0
110,-0.03118236472945892,20.0,8.0,8.0,8.0,8.0
111,-0.031102204408817637,20.0,8.0,8.0,8.0,8.0
112,-0.031022044088176357,20.0,8.0,8.0,8.0,8.0
113,-0.030941883767535074,20.0,8.0,8.0,8.0,8.0
114,-0.03086172344689379,20.0,8.0,8.0,8.0,8.0
115,-0.030781563126252506,20.0,8.0,8.0,8.0,8.0
116,-0.030701402805611226,20.0,8.0,8.0,8.0,8.0
117,-0.030621242484969943,20.0,8.0,8.0,8.0,8.0
118,-0.03054108216432866,20.0,8.0,8.0,8.0,8.0
119,-0.03046092184368738,20.0,8.0,8.0,8.0,8.0
120,-0.030380761523046095,20.0,8.0,8.0,8.0,8.0
121,-0.03030060120240481,20.0,8.0,8.0,8.0,8.0
122,-0.03022044088176353,20.0,8.0,8.0,8.0,8.0
